from fclose: FILE*=0x63b36167d2e0, fd=3, path=/home/shivrajj/.ros/log/ros2_control_node_2837720_1757012587595.log
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/picknik_reset_fault_controller
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/picknik_twist_controller
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/pid_controller
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/play_motion2
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/pose_broadcaster
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/position_controllers
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/range_sensor_broadcaster
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/robotiq_controllers
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/tricycle_controller
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/tricycle_steering_controller
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/ur_controllers
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/velocity_controllers
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/hardware_interface__pluginlib__plugin/andino_base
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/hardware_interface__pluginlib__plugin/canopen_ros2_control
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/hardware_interface__pluginlib__plugin/crane_plus_control
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/hardware_interface__pluginlib__plugin/dynamixel_hardware_interface
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/hardware_interface__pluginlib__plugin/feetech_ros2_driver
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/hardware_interface__pluginlib__plugin/hardware_interface
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/hardware_interface__pluginlib__plugin/hardware_interface_testing
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/hardware_interface__pluginlib__plugin/kortex_driver
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/hardware_interface__pluginlib__plugin/kuka_kss_rsi_driver
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/hardware_interface__pluginlib__plugin/kuka_mock_hardware_interface
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/hardware_interface__pluginlib__plugin/kuka_sunrise_fri_driver
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/hardware_interface__pluginlib__plugin/play_motion2
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/hardware_interface__pluginlib__plugin/qb_device_ros2_control
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/hardware_interface__pluginlib__plugin/qb_softhand_industry_ros2_control
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/hardware_interface__pluginlib__plugin/schunk_svh_driver
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/hardware_interface__pluginlib__plugin/synapticon_ros2_control
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/hardware_interface__pluginlib__plugin/topic_based_ros2_control
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/hardware_interface__pluginlib__plugin/turtlebot3_manipulation_hardware
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/hardware_interface__pluginlib__plugin/ur_robot_driver
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/packages/controller_interface
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/packages/hardware_interface
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/andino_base/andino_hw.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/andino_base/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/bicycle_steering_controller/bicycle_steering_controller.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/bicycle_steering_controller/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/canopen_ros2_control/canopen_ros2_control.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/canopen_ros2_control/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/canopen_ros2_controllers/canopen_ros2_controllers.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/canopen_ros2_controllers/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/clearpath_mecanum_drive_controller/clearpath_mecanum_drive_controller.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/clearpath_mecanum_drive_controller/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/controller_manager/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/controller_manager/test/test_chainable_controller/test_chainable_controller.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/controller_manager/test/test_controller/test_controller.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/controller_manager/test/test_controller_failed_init/test_controller_failed_init.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/controller_manager/test/test_controller_with_interfaces/test_controller_with_interfaces.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/crane_plus_control/crane_plus_hardware.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/crane_plus_control/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/diff_drive_controller/diff_drive_plugin.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/diff_drive_controller/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/dynamixel_hardware_interface/dynamixel_hardware_interface_plugin.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/dynamixel_hardware_interface/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/effort_controllers/effort_controllers_plugins.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/effort_controllers/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/feetech_ros2_driver/feetech_ros2_control_plugin_description.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/feetech_ros2_driver/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/force_torque_sensor_broadcaster/force_torque_sensor_broadcaster.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/force_torque_sensor_broadcaster/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/forward_command_controller/forward_command_plugin.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/forward_command_controller/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/fri_configuration_controller/controller_plugins.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/fri_configuration_controller/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/fri_state_broadcaster/controller_plugins.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/fri_state_broadcaster/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/gpio_controllers/gpio_controllers_plugin.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/gpio_controllers/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/gripper_controllers/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/gripper_controllers/ros_control_plugins.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/hardware_interface/fake_components_plugin_description.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/hardware_interface/mock_components_plugin_description.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/hardware_interface/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/hardware_interface/test/test_hardware_components/test_hardware_components.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/hardware_interface_testing/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/hardware_interface_testing/test/test_components/test_components.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/imu_sensor_broadcaster/imu_sensor_broadcaster.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/imu_sensor_broadcaster/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/joint_group_impedance_controller/controller_plugins.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/joint_group_impedance_controller/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/joint_state_broadcaster/joint_state_plugin.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/joint_state_broadcaster/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/joint_trajectory_controller/joint_trajectory_plugin.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/joint_trajectory_controller/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/kortex_driver/hardware_interface_plugin.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/kortex_driver/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/kuka_control_mode_handler/controller_plugins.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/kuka_control_mode_handler/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/kuka_event_broadcaster/controller_plugins.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/kuka_event_broadcaster/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/kuka_kss_rsi_driver/hardware_interface.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/kuka_kss_rsi_driver/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/kuka_mock_hardware_interface/hardware_interface.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/kuka_mock_hardware_interface/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/kuka_sunrise_fri_driver/hardware_interface.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/kuka_sunrise_fri_driver/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/mecanum_drive_controller/mecanum_drive_controller.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/mecanum_drive_controller/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/picknik_reset_fault_controller/controller_plugins.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/picknik_reset_fault_controller/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/picknik_twist_controller/controller_plugins.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/picknik_twist_controller/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/pid_controller/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/pid_controller/pid_controller.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/play_motion2/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/play_motion2/test/controllers/passthrough_controller.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/play_motion2/test/rrbot/rrbot_system.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/pose_broadcaster/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/pose_broadcaster/pose_broadcaster.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/position_controllers/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/position_controllers/position_controllers_plugins.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/qb_device_ros2_control/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/qb_device_ros2_control/qb_device_ros2_control.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/qb_softhand_industry_ros2_control/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/qb_softhand_industry_ros2_control/qb_softhand_industry_ros2_control.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/range_sensor_broadcaster/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/range_sensor_broadcaster/range_sensor_broadcaster.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/robotiq_controllers/controller_plugins.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/robotiq_controllers/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/schunk_svh_driver/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/schunk_svh_driver/schunk_svh_driver.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/synapticon_ros2_control/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/synapticon_ros2_control/synapticon_ros2_control.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/topic_based_ros2_control/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/topic_based_ros2_control/topic_based_ros2_control_plugin_description.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/tricycle_controller/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/tricycle_controller/tricycle_controller.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/tricycle_steering_controller/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/tricycle_steering_controller/tricycle_steering_controller.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/turtlebot3_manipulation_hardware/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/turtlebot3_manipulation_hardware/turtlebot3_manipulation_hardware.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ur_controllers/controller_plugins.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ur_controllers/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ur_robot_driver/hardware_interface_plugin.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ur_robot_driver/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/velocity_controllers/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/velocity_controllers/velocity_controllers_plugins.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ackermann_steering_controller/ackermann_steering_controller.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ackermann_steering_controller/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/admittance_controller/admittance_controller.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/admittance_controller/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/ackermann_steering_controller
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/admittance_controller
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/bicycle_steering_controller
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/canopen_ros2_controllers
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/clearpath_mecanum_drive_controller
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/controller_manager
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/diff_drive_controller
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/effort_controllers
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/force_torque_sensor_broadcaster
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/forward_command_controller
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/fri_configuration_controller
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/fri_state_broadcaster
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/gpio_controllers
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/gripper_controllers
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/imu_sensor_broadcaster
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/joint_group_impedance_controller
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/joint_state_broadcaster
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/joint_trajectory_controller
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/kuka_control_mode_handler
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/kuka_event_broadcaster
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/mecanum_drive_controller
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/picknik_reset_fault_controller
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/picknik_twist_controller
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/pid_controller
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/play_motion2
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/pose_broadcaster
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/position_controllers
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/range_sensor_broadcaster
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/robotiq_controllers
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/tricycle_controller
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/tricycle_steering_controller
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/ur_controllers
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/velocity_controllers
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/packages/controller_interface
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/bicycle_steering_controller/bicycle_steering_controller.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/bicycle_steering_controller/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/canopen_ros2_controllers/canopen_ros2_controllers.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/canopen_ros2_controllers/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/clearpath_mecanum_drive_controller/clearpath_mecanum_drive_controller.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/clearpath_mecanum_drive_controller/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/controller_manager/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/controller_manager/test/test_chainable_controller/test_chainable_controller.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/controller_manager/test/test_controller/test_controller.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/controller_manager/test/test_controller_failed_init/test_controller_failed_init.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/controller_manager/test/test_controller_with_interfaces/test_controller_with_interfaces.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/diff_drive_controller/diff_drive_plugin.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/diff_drive_controller/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/effort_controllers/effort_controllers_plugins.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/effort_controllers/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/force_torque_sensor_broadcaster/force_torque_sensor_broadcaster.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/force_torque_sensor_broadcaster/package.xml
from fclose: FILE*=0x63b361930570, fd=16, path=/opt/ros/humble/share/forward_command_controller/forward_command_plugin.xml
